Epoch: 0/27 Dev Comm cost: 286.7165608970821
Epoch: 1/27, Train Comm Cost: 188.6826, Dev Comm Cost: 217.5830
Epoch: 2/27, Train Comm Cost: 183.4935, Dev Comm Cost: 214.9946
Epoch: 3/27, Train Comm Cost: 182.0319, Dev Comm Cost: 218.0732
Epoch: 4/27, Train Comm Cost: 182.6124, Dev Comm Cost: 226.6807
Epoch: 5/27, Train Comm Cost: 185.3654, Dev Comm Cost: 232.3455
Epoch: 6/27, Train Comm Cost: 183.6093, Dev Comm Cost: 218.0608
Epoch: 7/27, Train Comm Cost: 182.1352, Dev Comm Cost: 217.3541
Epoch: 8/27, Train Comm Cost: 187.1997, Dev Comm Cost: 235.9086
Epoch: 9/27, Train Comm Cost: 192.1937, Dev Comm Cost: 231.4539
Epoch: 10/27, Train Comm Cost: 195.9979, Dev Comm Cost: 227.8010
Epoch: 11/27, Train Comm Cost: 191.7291, Dev Comm Cost: 224.2892
Epoch: 12/27, Train Comm Cost: 188.8412, Dev Comm Cost: 222.1841
Epoch: 13/27, Train Comm Cost: 190.4904, Dev Comm Cost: 236.5668
Epoch: 14/27, Train Comm Cost: 202.2309, Dev Comm Cost: 231.0820
Epoch: 15/27, Train Comm Cost: 200.8268, Dev Comm Cost: 230.9972
Epoch: 16/27, Train Comm Cost: 205.4585, Dev Comm Cost: 233.7962
Epoch: 17/27, Train Comm Cost: 200.4203, Dev Comm Cost: 222.1048
Epoch: 18/27, Train Comm Cost: 210.1372, Dev Comm Cost: 223.8227
Epoch: 19/27, Train Comm Cost: 203.2018, Dev Comm Cost: 231.5875
Epoch: 20/27, Train Comm Cost: 211.2156, Dev Comm Cost: 240.8810
Epoch: 21/27, Train Comm Cost: 226.9603, Dev Comm Cost: 227.1421
Epoch: 22/27, Train Comm Cost: 221.2412, Dev Comm Cost: 225.3747
Epoch: 23/27, Train Comm Cost: 223.1853, Dev Comm Cost: 231.7573
Epoch: 24/27, Train Comm Cost: 228.9530, Dev Comm Cost: 264.2260
Epoch: 25/27, Train Comm Cost: 227.5438, Dev Comm Cost: 268.1618
Epoch: 26/27, Train Comm Cost: 239.9071, Dev Comm Cost: 263.8545
Epoch: 27/27, Train Comm Cost: 254.7369, Dev Comm Cost: 263.7790
