Epoch: 0/27 Dev Comm cost: 272.79058576108355
Epoch: 1/27, Train Comm Cost: 269.0461, Dev Comm Cost: 189.4436
Epoch: 2/27, Train Comm Cost: 259.4874, Dev Comm Cost: 187.0089
Epoch: 3/27, Train Comm Cost: 257.1588, Dev Comm Cost: 185.6447
Epoch: 4/27, Train Comm Cost: 254.0779, Dev Comm Cost: 181.0076
Epoch: 5/27, Train Comm Cost: 244.4335, Dev Comm Cost: 173.4601
Epoch: 6/27, Train Comm Cost: 237.0799, Dev Comm Cost: 169.3107
Epoch: 7/27, Train Comm Cost: 231.0279, Dev Comm Cost: 162.4814
Epoch: 8/27, Train Comm Cost: 219.7737, Dev Comm Cost: 150.4930
Epoch: 9/27, Train Comm Cost: 188.0223, Dev Comm Cost: 137.0262
Epoch: 10/27, Train Comm Cost: 178.0247, Dev Comm Cost: 127.6456
Epoch: 11/27, Train Comm Cost: 173.2643, Dev Comm Cost: 124.9715
Epoch: 12/27, Train Comm Cost: 173.0493, Dev Comm Cost: 122.4998
Epoch: 13/27, Train Comm Cost: 171.5865, Dev Comm Cost: 152.0072
Epoch: 14/27, Train Comm Cost: 170.4095, Dev Comm Cost: 130.4356
Epoch: 15/27, Train Comm Cost: 177.8675, Dev Comm Cost: 170.1698
Epoch: 16/27, Train Comm Cost: 172.3828, Dev Comm Cost: 126.0027
Epoch: 17/27, Train Comm Cost: 168.6182, Dev Comm Cost: 118.5281
Epoch: 18/27, Train Comm Cost: 166.4661, Dev Comm Cost: 119.0808
Epoch: 19/27, Train Comm Cost: 164.2945, Dev Comm Cost: 118.7745
Epoch: 20/27, Train Comm Cost: 173.9024, Dev Comm Cost: 117.9984
Epoch: 21/27, Train Comm Cost: 177.0976, Dev Comm Cost: 127.5951
Epoch: 22/27, Train Comm Cost: 184.3801, Dev Comm Cost: 119.0274
Epoch: 23/27, Train Comm Cost: 198.4095, Dev Comm Cost: 127.5283
Epoch: 24/27, Train Comm Cost: 163.3339, Dev Comm Cost: 117.7834
Epoch: 25/27, Train Comm Cost: 175.0922, Dev Comm Cost: 136.9915
Epoch: 26/27, Train Comm Cost: 163.5689, Dev Comm Cost: 118.2462
Epoch: 27/27, Train Comm Cost: 161.6295, Dev Comm Cost: 117.1203
