Epoch: 1/20, Train Comm Cost: 158.0642, Dev Comm Cost: 154.9006
Epoch: 2/20, Train Comm Cost: 143.8045, Dev Comm Cost: 142.2866
Epoch: 3/20, Train Comm Cost: 137.9129, Dev Comm Cost: 139.7142
Epoch: 4/20, Train Comm Cost: 134.3469, Dev Comm Cost: 135.9359
Epoch: 5/20, Train Comm Cost: 131.8769, Dev Comm Cost: 133.4976
Epoch: 6/20, Train Comm Cost: 129.3987, Dev Comm Cost: 131.6279
Epoch: 7/20, Train Comm Cost: 127.5773, Dev Comm Cost: 129.7262
Epoch: 8/20, Train Comm Cost: 126.1384, Dev Comm Cost: 126.6175
Epoch: 9/20, Train Comm Cost: 123.6598, Dev Comm Cost: 127.4968
Epoch: 10/20, Train Comm Cost: 121.3086, Dev Comm Cost: 120.5110
Epoch: 11/20, Train Comm Cost: 119.4893, Dev Comm Cost: 122.0839
Epoch: 12/20, Train Comm Cost: 118.8334, Dev Comm Cost: 122.4361
Epoch: 13/20, Train Comm Cost: 117.7512, Dev Comm Cost: 118.2517
Epoch: 14/20, Train Comm Cost: 117.1562, Dev Comm Cost: 117.6878
Epoch: 15/20, Train Comm Cost: 116.3933, Dev Comm Cost: 120.6660
Epoch: 16/20, Train Comm Cost: 116.1156, Dev Comm Cost: 119.6795
Epoch: 17/20, Train Comm Cost: 115.7303, Dev Comm Cost: 121.1494
Epoch: 18/20, Train Comm Cost: 115.1002, Dev Comm Cost: 117.2595
Epoch: 19/20, Train Comm Cost: 114.9104, Dev Comm Cost: 115.7602
Epoch: 20/20, Train Comm Cost: 114.4810, Dev Comm Cost: 114.9065
